,Sol,avg_duration,avg_peak,flare_count,aurora_count,target
0,2015-01-01,13.333333333333334,4.333333333333333,3,1,1
1,2015-01-02,4.5,2.5,6,7,1
2,2015-01-03,18.0,11.272727272727273,11,2,1
3,2015-01-04,27.666666666666668,14.0,6,6,1
4,2015-01-05,12.0,8.5,6,2,1
5,2015-01-06,12.833333333333334,7.833333333333333,6,0,0
6,2015-01-07,20.285714285714285,8.571428571428571,7,6,1
7,2015-01-08,11.4,6.8,5,0,0
8,2015-01-09,24.0,13.0,5,0,0
9,2015-01-10,19.8,12.8,5,1,1
10,2015-01-11,60.666666666666664,37.333333333333336,9,0,0
11,2015-01-12,25.714285714285715,10.285714285714286,7,0,0
12,2015-01-13,17.0,7.25,4,0,0
13,2015-01-14,21.2,12.7,10,0,0
14,2015-01-15,28.8,12.6,5,0,0
15,2015-01-16,35.0,12.0,1,0,0
16,2015-01-18,13.5,6.0,2,1,1
17,2015-01-19,9.75,5.25,4,1,1
18,2015-01-20,21.333333333333332,12.0,3,0,0
19,2015-01-21,15.571428571428571,12.428571428571429,7,0,0
20,2015-01-22,11.875,5.75,8,0,0
21,2015-01-23,10.375,4.75,8,0,0
22,2015-01-24,10.0,4.857142857142857,7,1,1
23,2015-01-25,12.2,7.2,5,0,0
24,2015-01-26,24.125,15.0,8,1,1
25,2015-01-27,25.4,9.4,5,1,1
26,2015-01-28,22.571428571428573,12.714285714285714,7,1,1
27,2015-01-29,13.055555555555555,7.666666666666667,18,0,0
28,2015-01-30,22.857142857142858,9.571428571428571,7,1,1
29,2015-01-31,17.25,6.75,4,0,0
30,2015-02-01,43.0,20.125,8,0,0
31,2015-02-02,15.333333333333334,7.333333333333333,3,4,1
32,2015-02-03,18.6,6.8,5,1,1
33,2015-02-04,24.333333333333332,13.333333333333334,3,0,0
34,2015-02-05,13.333333333333334,6.333333333333333,3,0,0
35,2015-02-06,21.333333333333332,10.333333333333334,3,0,0
36,2015-02-07,24.5,15.75,4,0,0
37,2015-02-08,34.666666666666664,16.666666666666668,3,1,1
38,2015-02-09,38.75,24.5,4,0,0
39,2015-02-10,31.5,15.5,2,0,0
40,2015-02-11,29.0,16.5,2,0,0
41,2015-02-12,5.0,3.0,1,0,0
42,2015-02-13,8.0,8.0,1,0,0
43,2015-02-14,9.5,5.0,2,0,0
44,2015-02-15,10.0,5.0,1,0,0
45,2015-02-16,18.0,12.0,1,3,1
46,2015-02-18,20.0,15.0,1,1,1
47,2015-02-19,25.0,14.0,2,0,0
48,2015-02-20,29.5,13.0,4,0,0
49,2015-02-21,81.0,30.0,1,0,0
50,2015-02-22,60.0,19.0,1,0,0
51,2015-02-23,16.6,8.6,5,0,0
52,2015-02-24,92.33333333333333,41.333333333333336,3,3,1
53,2015-02-26,16.5,8.5,2,0,0
54,2015-02-27,34.0,28.0,2,0,0
55,2015-02-28,16.2,12.0,5,2,1
56,2015-03-01,61.0,61.0,1,16,1
57,2015-03-02,21.4,14.8,5,4,1
58,2015-03-03,16.0,16.0,1,0,0
59,2015-03-04,27.0,20.0,5,1,1
60,2015-03-05,45.25,39.75,4,0,0
61,2015-03-06,7.0,4.5,2,0,0
62,2015-03-07,21.333333333333332,3.0,3,0,0
63,2015-03-09,14.75,9.0,4,0,0
64,2015-03-10,11.333333333333334,8.0,6,0,0
65,2015-03-11,21.571428571428573,10.142857142857142,7,0,0
66,2015-03-12,16.0,7.5625,16,1,1
67,2015-03-13,20.375,10.25,8,1,1
68,2015-03-14,13.066666666666666,7.133333333333334,15,0,0
69,2015-03-15,23.0,16.9,10,0,0
70,2015-03-16,20.555555555555557,17.22222222222222,9,0,0
71,2015-03-17,21.666666666666668,19.0,3,57,1
72,2015-03-18,12.666666666666666,8.666666666666666,3,55,1
73,2015-03-19,17.25,11.75,4,14,1
74,2015-03-20,27.0,21.5,2,5,1
75,2015-03-21,41.0,17.25,4,2,1
76,2015-03-22,12.5,6.0,2,0,0
77,2015-03-23,17.666666666666668,12.333333333333334,3,0,0
78,2015-03-24,12.0,4.5,2,0,0
79,2015-03-25,17.375,10.375,8,0,0
80,2015-03-26,16.88888888888889,9.777777777777779,9,0,0
81,2015-03-27,7.8,3.8,5,1,1
82,2015-03-28,21.333333333333332,11.777777777777779,9,0,0
83,2015-03-29,17.5,5.5,4,0,0
84,2015-03-30,30.0,18.666666666666668,6,0,0
85,2015-03-31,230.0,86.0,1,0,0
86,2015-04-02,49.333333333333336,28.333333333333332,3,0,0
87,2015-04-03,59.0,30.0,2,0,0
88,2015-04-04,64.125,32.375,8,0,0
89,2015-04-05,49.5,24.5,2,0,0
90,2015-04-06,39.0,31.0,1,0,0
91,2015-04-07,29.0,8.0,1,0,0
92,2015-04-08,7.0,5.0,1,0,0
93,2015-04-09,12.777777777777779,7.333333333333333,9,1,1
94,2015-04-10,16.2,10.8,5,7,1
95,2015-04-11,30.333333333333332,17.0,6,5,1
96,2015-04-12,24.833333333333332,14.0,12,0,0
97,2015-04-13,9.444444444444445,6.0,9,0,0
98,2015-04-14,103.0,46.0,1,0,0
99,2015-04-15,14.0,8.5,2,0,0
100,2015-04-16,34.0,22.333333333333332,6,0,0
101,2015-04-17,15.166666666666666,9.833333333333334,6,0,0
102,2015-04-18,23.5,11.75,4,0,0
103,2015-04-19,29.75,16.75,4,3,1
104,2015-04-20,44.666666666666664,19.0,3,1,1
105,2015-04-21,19.363636363636363,9.454545454545455,11,1,1
